route_label,dataset,row_family,top_k,max_user_items,max_pair_events,d3_depth1_weighted
resid_gaoq_video_pilot,Video_Games,ReSID_GAOQ,5,50,10000,0.2030211480362538
resid_gaoq_video_pilot,Video_Games,ReSID_GAOQ,5,100,10000,0.2030211480362538
resid_gaoq_video_pilot,Video_Games,ReSID_GAOQ,5,200,10000,0.2030211480362538
resid_gaoq_video_pilot,Video_Games,ReSID_GAOQ,10,50,10000,0.19698539802166745
resid_gaoq_video_pilot,Video_Games,ReSID_GAOQ,10,100,10000,0.19698539802166745
resid_gaoq_video_pilot,Video_Games,ReSID_GAOQ,10,200,10000,0.19698539802166745
resid_gaoq_video_pilot,Video_Games,ReSID_GAOQ,20,50,10000,0.193366951124903
resid_gaoq_video_pilot,Video_Games,ReSID_GAOQ,20,100,10000,0.193366951124903
resid_gaoq_video_pilot,Video_Games,ReSID_GAOQ,20,200,10000,0.193366951124903
grid_faithful_p5_beauty,beauty,GRID_faithful,5,50,10000,0.038409311348205626
grid_faithful_p5_beauty,beauty,GRID_faithful,5,100,10000,0.037066881547139406
grid_faithful_p5_beauty,beauty,GRID_faithful,5,200,10000,0.037066881547139406
grid_faithful_p5_beauty,beauty,GRID_faithful,10,50,10000,0.03803082381638763
grid_faithful_p5_beauty,beauty,GRID_faithful,10,100,10000,0.0358814352574103
grid_faithful_p5_beauty,beauty,GRID_faithful,10,200,10000,0.0358814352574103
grid_faithful_p5_beauty,beauty,GRID_faithful,20,50,10000,0.03685851998865892
grid_faithful_p5_beauty,beauty,GRID_faithful,20,100,10000,0.03216335246229814
grid_faithful_p5_beauty,beauty,GRID_faithful,20,200,10000,0.03216335246229814
card_rqvae_p5_beauty,beauty,CARD_RQVAE,5,50,10000,0.02289039767216295
card_rqvae_p5_beauty,beauty,CARD_RQVAE,5,100,10000,0.016518936341659952
card_rqvae_p5_beauty,beauty,CARD_RQVAE,5,200,10000,0.016518936341659952
card_rqvae_p5_beauty,beauty,CARD_RQVAE,10,50,10000,0.02151014524891895
card_rqvae_p5_beauty,beauty,CARD_RQVAE,10,100,10000,0.017829284599955426
card_rqvae_p5_beauty,beauty,CARD_RQVAE,10,200,10000,0.017829284599955426
card_rqvae_p5_beauty,beauty,CARD_RQVAE,20,50,10000,0.02112276722426992
card_rqvae_p5_beauty,beauty,CARD_RQVAE,20,100,10000,0.017349526224476178
card_rqvae_p5_beauty,beauty,CARD_RQVAE,20,200,10000,0.017349526224476178
diger_rqvae_beauty,beauty,DIGER,5,50,10000,0.028346161066266192
diger_rqvae_beauty,beauty,DIGER,5,100,10000,0.02262090483619345
diger_rqvae_beauty,beauty,DIGER,5,200,10000,0.02262090483619345
diger_rqvae_beauty,beauty,DIGER,10,50,10000,0.02886445337280609
diger_rqvae_beauty,beauty,DIGER,10,100,10000,0.020949123557075674
diger_rqvae_beauty,beauty,DIGER,10,200,10000,0.020949123557075674
diger_rqvae_beauty,beauty,DIGER,20,50,10000,0.02914752074617653
diger_rqvae_beauty,beauty,DIGER,20,100,10000,0.020359910679101537
diger_rqvae_beauty,beauty,DIGER,20,200,10000,0.020359910679101537
diger_rqvae_yelp,yelp,DIGER,5,50,10000,0.009739572305737878
diger_rqvae_yelp,yelp,DIGER,5,100,10000,0.006266786034019696
diger_rqvae_yelp,yelp,DIGER,5,200,10000,0.014617940199335547
diger_rqvae_yelp,yelp,DIGER,10,50,10000,0.008495871724302979
diger_rqvae_yelp,yelp,DIGER,10,100,10000,0.007394186639469658
diger_rqvae_yelp,yelp,DIGER,10,200,10000,0.014738393515106854
diger_rqvae_yelp,yelp,DIGER,20,50,10000,0.008089654148730889
diger_rqvae_yelp,yelp,DIGER,20,100,10000,0.0073271256296748586
diger_rqvae_yelp,yelp,DIGER,20,200,10000,0.014769765421372719
resot_text_index_instruments,Instruments,ReSOT,5,50,10000,0.06290584415584416
resot_text_index_instruments,Instruments,ReSOT,5,100,10000,0.06290584415584416
resot_text_index_instruments,Instruments,ReSOT,5,200,10000,0.06290584415584416
resot_text_index_instruments,Instruments,ReSOT,10,50,10000,0.060110575226443946
resot_text_index_instruments,Instruments,ReSOT,10,100,10000,0.060110575226443946
resot_text_index_instruments,Instruments,ReSOT,10,200,10000,0.060110575226443946
resot_text_index_instruments,Instruments,ReSOT,20,50,10000,0.057123298090819195
resot_text_index_instruments,Instruments,ReSOT,20,100,10000,0.057123298090819195
resot_text_index_instruments,Instruments,ReSOT,20,200,10000,0.057123298090819195
letter_official_instruments,LETTER_Instruments,LETTER,5,50,10000,0.10793296089385475
letter_official_instruments,LETTER_Instruments,LETTER,5,100,10000,0.10365853658536585
letter_official_instruments,LETTER_Instruments,LETTER,5,200,10000,0.10365853658536585
letter_official_instruments,LETTER_Instruments,LETTER,10,50,10000,0.11618204804045512
letter_official_instruments,LETTER_Instruments,LETTER,10,100,10000,0.11169201520912547
letter_official_instruments,LETTER_Instruments,LETTER,10,200,10000,0.11169201520912547
letter_official_instruments,LETTER_Instruments,LETTER,20,50,10000,0.10980066445182725
letter_official_instruments,LETTER_Instruments,LETTER,20,100,10000,0.11108762287284642
letter_official_instruments,LETTER_Instruments,LETTER,20,200,10000,0.11108762287284642
lcrec_official_instruments,LCRec_Instruments,LC-Rec,5,50,10000,0.05497206703910615
lcrec_official_instruments,LCRec_Instruments,LC-Rec,5,100,10000,0.05349223946784922
lcrec_official_instruments,LCRec_Instruments,LC-Rec,5,200,10000,0.05349223946784922
lcrec_official_instruments,LCRec_Instruments,LC-Rec,10,50,10000,0.04981036662452592
lcrec_official_instruments,LCRec_Instruments,LC-Rec,10,100,10000,0.04990494296577947
lcrec_official_instruments,LCRec_Instruments,LC-Rec,10,200,10000,0.04990494296577947
lcrec_official_instruments,LCRec_Instruments,LC-Rec,20,50,10000,0.04426910299003322
lcrec_official_instruments,LCRec_Instruments,LC-Rec,20,100,10000,0.046506711764084135
lcrec_official_instruments,LCRec_Instruments,LC-Rec,20,200,10000,0.046506711764084135
